Z-scores (height in cm),,,,,,,,,,,,
Year: Month,Month,L,M,S,SD,-3 SD,-2 SD,-1 SD,Median,1 SD,2 SD,3 SD
5:  1,61,1,109.6016,0.04355,4.7731,95.3,100.1,104.8,109.6,114.4,119.1,123.9
5:  2,62,1,110.1258,0.04364,4.8059,95.7,100.5,105.3,110.1,114.9,119.7,124.5
5:  3,63,1,110.6451,0.04373,4.8385,96.1,101.0,105.8,110.6,115.5,120.3,125.2
5:  4,64,1,111.1596,0.04382,4.8710,96.5,101.4,106.3,111.2,116.0,120.9,125.8
5:  5,65,1,111.6696,0.04390,4.9023,97.0,101.9,106.8,111.7,116.6,121.5,126.4
5:  6,66,1,112.1753,0.04399,4.9346,97.4,102.3,107.2,112.2,117.1,122.0,127.0
5:  7,67,1,112.6767,0.04407,4.9657,97.8,102.7,107.7,112.7,117.6,122.6,127.6
5:  8,68,1,113.1740,0.04415,4.9966,98.2,103.2,108.2,113.2,118.2,123.2,128.2
5:  9,69,1,113.6672,0.04423,5.0275,98.6,103.6,108.6,113.7,118.7,123.7,128.8
5:10,70,1,114.1565,0.04431,5.0583,99.0,104.0,109.1,114.2,119.2,124.3,129.3
5:11,71,1,114.6421,0.04439,5.0890,99.4,104.5,109.6,114.6,119.7,124.8,129.9
6:  0,72,1,115.1244,0.04447,5.1196,99.8,104.9,110.0,115.1,120.2,125.4,130.5
6:  1,73,1,115.6039,0.04454,5.1490,100.2,105.3,110.5,115.6,120.8,125.9,131.1
6:  2,74,1,116.0812,0.04461,5.1784,100.5,105.7,110.9,116.1,121.3,126.4,131.6
6:  3,75,1,116.5568,0.04469,5.2089,100.9,106.1,111.3,116.6,121.8,127.0,132.2
6:  4,76,1,117.0311,0.04475,5.2371,101.3,106.6,111.8,117.0,122.3,127.5,132.7
6:  5,77,1,117.5044,0.04482,5.2665,101.7,107.0,112.2,117.5,122.8,128.0,133.3
6:  6,78,1,117.9769,0.04489,5.2960,102.1,107.4,112.7,118.0,123.3,128.6,133.9
6:  7,79,1,118.4489,0.04495,5.3243,102.5,107.8,113.1,118.4,123.8,129.1,134.4
6:  8,80,1,118.9208,0.04502,5.3538,102.9,108.2,113.6,118.9,124.3,129.6,135.0
